node_id,name,in_degree,out_degree,degree
Abomination_(character),Abomination (character),5,8,9
Adam_Warlock,Adam Warlock,8,22,25
Agent_X_(Marvel_Comics),Agent X (Marvel Comics),4,3,5
Ajak,Ajak,1,4,4
Alex_Wilder,Alex Wilder,1,1,2
Anne_Weying,She-Venom (Patricia Robertson),3,4,5
Anole_(character),Anole (character),6,6,8
Anya_Corazon,Anya Corazon,10,12,16
Arabian_Knight_(character),Arabian Knight (character),5,8,10
Ares_(Marvel_Comics),Ares (Marvel Comics),5,7,9
Backhand_(character),Backhand (character),2,1,2
Balder_the_Brave,Balder the Brave,3,2,3
Battlestar_(character),Battlestar (character),3,2,3
Baymax,Baymax,0,0,0
Beta_Ray_Bill,Beta Ray Bill,2,5,7
Betsy_Braddock,Betsy Braddock,7,28,28
Bill_Foster_(character),Bill Foster (character),9,12,17
Bird-Brain_(Marvel_Comics),Bird-Brain (Marvel Comics),0,0,0
Black_Bolt,Black Bolt,13,9,18
Black_Cat_(Marvel_Comics),Black Cat (Marvel Comics),21,14,28
Black_Fox_(Robert_Paine),Black Fox (Robert Paine),0,0,0
Black_Jack_Tarr,Black Jack Tarr,1,1,1
Black_Knight_(Marvel_Comics),Black Knight (Marvel Comics),4,3,7
Black_Marvel,Black Marvel,5,2,6
Black_Panther_(character),Black Panther (character),27,11,31
Black_Rider_(character),Black Rider (character),1,4,4
Black_Widow_(Natasha_Romanova),Black Widow (Natasha Romanova),22,7,25
Blackthorn_(character),Blackthorn (character),2,1,2
Blackwulf,Blackwulf,0,2,2
Blade_(character),Blade (character),17,12,22
Blazing_Skull,Blazing Skull,3,8,8
Blue_Bullet,Blue Bullet,2,2,3
Blue_Diamond_(character),Blue Diamond (character),1,9,9
Blue_Eagle_(character),Blue Eagle (character),0,1,1
Blue_Marvel,Blue Marvel,2,4,5
"Bob,_Agent_of_Hydra","Bob, Agent of Hydra",2,7,7
Box_(comics),Box (comics),1,2,3
Brain_Drain_(character),Brain Drain (character),0,0,0
Breeze_Barton,Breeze Barton,0,0,0
Brian_Braddock,Brian Braddock,1,11,11
Bucky_(Marvel_Comics),Bucky (Marvel Comics),9,9,12
Bug_(Marvel_Comics),Bug (Marvel Comics),1,4,4
Cable_(character),Cable (character),21,11,24
Cammi_(character),Cammi (character),2,3,4
Captain_Marvel_(Khn'nr),Captain Marvel (Khn'nr),3,2,3
Captain_Marvel_(Marvel_Comics),Captain Marvel (Marvel Comics),9,14,17
Captain_Midlands,Captain Midlands,0,0,0
Captain_Ultra,Captain Ultra,0,1,1
Captain_Universe,Captain Universe,6,14,17
Caretaker_(comics),Caretaker (comics),2,3,3
Ch'od,Ch'od,4,3,6
Charcoal_(comics),Charcoal (comics),0,0,0
Chase_Stein,Chase Stein,4,4,6
Citizen_V,Citizen V,2,1,3
Cloak_and_Dagger_(characters),Cloak and Dagger (characters),11,24,28
Coldblood,Coldblood,0,2,2
Crane_Mother,Crane Mother,1,3,3
Crippler_(character),Crippler (character),0,4,4
Cyclops_(Marvel_Comics),Cyclops (Marvel Comics),26,11,26
Dargo_Ktor,Dargo Ktor,0,2,2
Darkdevil,Darkdevil,1,4,4
Darkhawk,Darkhawk,8,11,15
Deadpool,Deadpool,33,19,41
Deathlok,Deathlok,17,5,20
Debrii,Debrii,1,5,5
Delroy_Garrett,Delroy Garrett,5,3,7
Detroit_Steel,Detroit Steel,0,1,1
Devil_Dinosaur,Devil Dinosaur,4,8,12
Devil_Hulk,Devil Hulk,1,2,2
Digitek_(character),Digitek (character),0,1,1
Doctor_Druid,Doctor Druid,5,4,9
Doctor_Nemesis,Doctor Nemesis,7,9,15
Doctor_Spectrum,Alice Nugent,2,6,7
Doctor_Strange,Doctor Strange,50,17,57
Dogpool,Dogpool,0,1,1
Doom_2099,Doom 2099,1,9,9
Dragon_Lord_(character),Dragon Lord (character),1,1,2
Dusk_(comics),Dusk (comics),2,6,6
Eddie_Brock,Eddie Brock,11,16,22
Elsa_Bloodstone,Elsa Bloodstone,5,12,15
Emma_Frost,Emma Frost,21,17,27
Empath_(character),Empath (character),4,3,5
Emrys_Killebrew,Emrys Killebrew,0,2,2
Enigma_(Marvel_Comics),Enigma (Marvel Comics),0,1,1
Ethan_Edwards,Ethan Edwards,0,1,1
Fabio_Medina,Fabio Medina,0,3,3
Fandral,Fandral,1,2,2
Father_Time_(Marvel_Comics),Father Time (Marvel Comics),0,0,0
Fin_Fang_Foom,Fin Fang Foom,5,2,7
Firebird_(Marvel_Comics),Firebird (Marvel Comics),2,12,13
Firelord_(character),Firelord (character),2,1,2
Flatman_(character),Flatman (character),1,3,3
Force_(comics),Force (comics),1,1,1
Frankenstein's_Monster_(Marvel_Comics),Frankenstein's Monster (Marvel Comics),2,11,11
Franklin_Richards_(character),Franklin Richards (character),13,3,14
Frog-Man,Frog-Man,2,6,6
G._W._Bridge,G. W. Bridge,1,2,3
Gargoyle_(comics),Gargoyle (comics),5,5,8
Garrison_Kane,Garrison Kane,1,6,7
Gauntlet_(Joseph_Green),Gauntlet (Joseph Green),3,3,6
Genis-Vell,Genis-Vell,7,3,8
Ghost_Rider,Ghost Rider,13,15,22
Ghost_Rider_(Danny_Ketch),Ghost Rider (Danny Ketch),7,7,10
Ghost_Rider_(Johnny_Blaze),Ghost Rider (Johnny Blaze),10,8,15
Gladiator_(Kallark),Gladiator (Kallark),6,6,10
Golem_(Marvel_Comics),Golem (Marvel Comics),1,3,3
Gorgon_(Inhuman),Gorgon (Inhuman),5,1,5
Gremlin_(comics),Gremlin (comics),0,4,4
Guardian_(Marvel_Comics),Guardian (Marvel Comics),6,4,7
Guardsman_(character),Guardsman (character),4,7,8
Gwenpool,Gwenpool,6,15,15
Hank_Pym,Hank Pym,24,8,27
Happy_Sam_Sawyer,Happy Sam Sawyer,0,0,0
Hawkeye_(comics),Hawkeye (comics),0,3,3
Helix_(Marvel_Comics),Helix (Marvel Comics),0,1,1
Hellfire_(J._T._Slade),Hellfire (J. T. Slade),0,0,0
Hellion_(character),Hellion (character),4,11,12
Hercules_(Marvel_Comics),Hercules (Marvel Comics),19,17,26
Hit-Monkey,Hit-Monkey,1,3,4
Hornet_(comics),Hornet (comics),4,4,6
Hrimhari,Hrimhari,1,1,2
Hulk,Hulk,64,10,65
Hulk_2099,Hulk 2099,2,2,4
Hulkling,Hulkling,5,9,11
Human_Fly_(character),Human Fly (character),0,5,5
Human_Torch,Human Torch,17,5,18
Human_Torch_(android),Human Torch (android),14,9,17
Hybrid_(Scott_Washington),Hybrid (Scott Washington),2,5,5
Hyperion_(character),Hyperion (character),7,6,10
Ikaris,Ikaris,2,3,5
Illuminator_(Marvel_Comics),Illuminator (Marvel Comics),0,0,0
Inferno_(Dante_Pertuz),Inferno (Dante Pertuz),0,3,3
Iron_Fist_(character),Iron Fist (character),21,16,26
